FID,community_id,NEAR_FID,NEAR_DIST,lon,lat
0,0,0,0,114.13026037012675,22.281933061040544
1,0,0,0,114.12832351777271,22.28066706618772
2,1,0,0,114.13650788216705,22.289624570753666
3,1,0,0,114.13814049426148,22.28615203284868
4,2,0,0,114.1450069867971,22.28779639106087
5,2,0,0,114.14998617869408,22.287903521278125
6,3,0,0,114.15187399256335,22.284414091089197
7,3,0,0,114.15112783092799,22.28228474228605
8,4,0,0,114.14441048497747,22.289589984261667
9,4,0,0,114.14626316640248,22.288148931295485
10,5,0,0,114.13368155446676,22.287142255439456
11,5,0,0,114.13531312968553,22.284288852510112
12,6,0,0,114.15990954784012,22.282320850414898
13,6,0,0,114.16224783577073,22.281082907290916
14,7,0,0,114.15397290011089,22.28211723823351
15,7,0,0,114.1515822706936,22.282101902209654
16,8,0,0,114.1719701812969,22.273740209347828
17,8,0,0,114.17491669027139,22.273671215464017
18,9,0,0,114.18037780137902,22.277155742603092
19,9,0,0,114.18227199656067,22.278261278562812
20,10,0,0,114.18187248021107,22.279817547399105
21,10,0,0,114.17857706672828,22.27876967042943
22,11,0,0,114.17631415754501,22.281157957581723
23,11,0,0,114.17441658939025,22.280046135416406
24,12,0,0,114.17124851967407,22.272873352670654
25,12,0,0,114.18017736425787,22.268379645799612
26,13,0,0,114.1350134287706,22.284089088703542
27,13,0,0,114.13386223578881,22.275994439059524
28,14,0,0,114.15351695282999,22.279943180386628
29,14,0,0,114.14940421562815,22.279942570410544
30,15,0,0,114.15809078652065,22.27488663116964
31,15,0,0,114.16333539455442,22.27566730762122
32,16,0,0,114.18063115181627,22.274979017343227
33,16,0,0,114.18582631781942,22.26520274058853
34,17,0,0,114.19102046241248,22.27453877792984
35,17,0,0,114.19118274698009,22.280352287220907
36,18,0,0,114.18875838561951,22.28365010934663
37,18,0,0,114.1879858291096,22.278050909338837
38,19,0,0,114.19553468770235,22.278360756357717
39,19,0,0,114.19721269710452,22.274571098428442
40,20,0,0,114.2004587692195,22.271805027739653
41,20,0,0,114.19433908275705,22.268726828786654
42,21,0,0,114.18928201678882,22.286859634824474
43,21,0,0,114.19287508855327,22.289685998296605
44,22,0,0,114.19818236954227,22.28233571694836
45,22,0,0,114.19376135337691,22.28533773501994
46,23,0,0,114.20077259485309,22.29314181214325
47,23,0,0,114.20316913867086,22.288621686679654
48,24,0,0,114.20782816190133,22.288352109388686
49,24,0,0,114.20809225585423,22.285053315729645
50,25,0,0,114.20997698263174,22.281398006249134
51,25,0,0,114.21221969564718,22.28655413962168
52,26,0,0,114.20315215230822,22.262451938313017
53,26,0,0,114.22405406744954,22.270033953769264
54,27,0,0,114.21994187661407,22.28713937446764
55,27,0,0,114.22479437145991,22.284715067449834
56,28,0,0,114.23471989782797,22.278137967002703
57,28,0,0,114.22761038015865,22.28183613138514
58,29,0,0,114.24036218094918,22.27467177946804
59,29,0,0,114.23835140341858,22.269720829994757
60,30,0,0,114.23744885495996,22.263449701441232
61,30,0,0,114.24691647278866,22.26608798867976
62,31,0,0,114.23643227810408,22.26184692253801
63,31,0,0,114.23743084949773,22.260144509411703
64,32,0,0,114.21900506190575,22.280419537071552
65,32,0,0,114.21819125679055,22.28212742014889
66,33,0,0,114.24923438781266,22.24907242638056
67,33,0,0,114.24400385767726,22.254031451025483
68,34,0,0,114.13000688430041,22.262302884676433
69,34,0,0,114.12914207235934,22.267736523993353
70,35,0,0,114.13585380347206,22.255198624696188
71,35,0,0,114.1408992870861,22.25250762902572
72,36,0,0,114.15100927462495,22.253970496914704
73,36,0,0,114.15915235168859,22.25060912475336
74,37,0,0,114.16086975235274,22.231013801289258
75,37,0,0,114.16044549151292,22.239180581925414
76,38,0,0,114.16806444586379,22.24738505077052
77,38,0,0,114.16768433459464,22.234028491155538
78,39,0,0,114.14382224396059,22.27929988611577
79,39,0,0,114.14897794314743,22.25946413011929
80,40,0,0,114.17575740814856,22.263893733171997
81,40,0,0,114.177312832803,22.267755899283348
82,41,0,0,114.2224964842583,22.255535704775728
83,41,0,0,114.22218553730664,22.247861538931648
84,42,0,0,114.18916484164865,22.234466196649883
85,42,0,0,114.17934902876073,22.249917736925823
86,43,0,0,114.1972484656106,22.212330666203442
87,43,0,0,114.21288179597583,22.206832775576416
88,44,0,0,114.22553490220434,22.236224321548004
89,44,0,0,114.2399635756535,22.221084887354817
90,45,0,0,114.25158044642595,22.23457789895306
91,45,0,0,114.24508587582801,22.241818548779268
92,46,0,0,114.16903135549138,22.294650083634522
93,46,0,0,114.16817138676795,22.304246407389222
94,47,0,0,114.17300781859942,22.30094695805493
95,47,0,0,114.1752495785054,22.299163056696692
96,48,0,0,114.1883002442617,22.301355816207074
97,48,0,0,114.17727521480148,22.303141769094996
98,49,0,0,114.17263154889395,22.295601231500584
99,49,0,0,114.17432020149002,22.297116241676783
100,50,0,0,114.18343324129901,22.30295673186225
101,50,0,0,114.18412089410744,22.300549608653803
102,51,0,0,114.17056944053276,22.314779365172065
103,51,0,0,114.17301449942775,22.314022448686302
104,52,0,0,114.16136691470466,22.32436117340609
105,52,0,0,114.16594168805366,22.322523582935883
106,53,0,0,114.16903998688215,22.325020882360988
107,53,0,0,114.17213364330898,22.326448973167523
108,54,0,0,114.16906965339281,22.31154115971731
109,54,0,0,114.16785408816428,22.309952443647948
110,55,0,0,114.17258793734524,22.31979567948234
111,55,0,0,114.17376933885147,22.31718014204986
112,56,0,0,114.1686703358109,22.314709868413136
113,56,0,0,114.16813986787376,22.31259349064165
114,57,0,0,114.16927478372625,22.31674429892747
115,57,0,0,114.16637016637964,22.31790032987896
116,58,0,0,114.17476986007877,22.3255190530668
117,58,0,0,114.18357064322481,22.326757284927055
118,59,0,0,114.17519668570772,22.32099708060499
119,59,0,0,114.17380919045108,22.32442342027192
120,60,0,0,114.17865798097742,22.32548540528673
121,60,0,0,114.18082346520018,22.325953552721625
